context_id,title,text,school_id,word_count,char_count,doc_key,chunk_no,in_train,in_test,is_direct_gold,included_via_same_document
CTX-FTU-1A82F8EA01-CH0001,quydinhtochuchoatdongthudientuvawebsite,"﻿BỘ GIÁO DỤC VÀ ĐÀO TẠO CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM TRƯỜNG ĐẠI HỌC NGOẠI THƯƠNG Độc lập – Tự do – Hạnh phúc QUY ĐỊNH VỀ TỔ CHỨC HOẠT ĐỘNG, SỬ DỤNG THƯ ĐIỆN TỬ VÀ TRANG THÔNG TIN ĐIỆN TỬ CỦA TRƯỜNG ĐẠI HỌC NGOẠI THƯƠNG (Ban hành kèm theo Quyết định số…..…./QĐ-ĐHNT-TTTT&KT ngày …/… /2015 của Hiệu trưởng Trường Đại học Ngoại thương) Chương I NHỮNG QUI ĐỊNH CHUNG Điều 1. Phạm vi điều chỉnh và đối tượng áp dụng 1. Văn bản này quy định về tổ chức hoạt động và sử dụng thư điện tử (email) và trang thông tin điện tử (website) của trường Đại học Ngoại thương. 2. Văn bản này áp dụng đối với các đơn vị trong trường và toàn thể cán bộ, viên chức, sinh viên, học viên đang công tác, học tập tại trường Đại học Ngoại thương. Điều 2. Giải thích từ ngữ Trong quy định này các từ ngữ dưới đây được hiểu như sau: 1. Trang thông tin điện tử (website) của trường Đại học Ngoại thương là nơi cung cấp, trao đổi thông tin công khai trên mạng Internet, bao gồm website của trường và các website của đơn vị thuộc trường. Thông tin trên website được truyền tải bằng kỹ thuật đa phương tiện: văn bản, âm thanh, tiếng nói, đồ họa, biểu đồ, hình ảnh và video. 2. Website đơn vị thuộc trường Đại học Ngoại thương bao gồm website của Cơ sở TP. Hồ Chí Minh, website của Cơ sở Quảng Ninh, của các phòng, khoa, trung tâm, đoàn thanh niên, hội sinh viên và các đơn vị thuộc trường.",FTU,281,1361,FTU-1A82F8EA01,1,True,True,True,False
CTX-FTU-1A82F8EA01-CH0002,quydinhtochuchoatdongthudientuvawebsite,"Hồ Chí Minh, website của Cơ sở Quảng Ninh, của các phòng, khoa, trung tâm, đoàn thanh niên, hội sinh viên và các đơn vị thuộc trường. Website đơn vị là bộ phận không tách rời trong hệ thống website của trường Đại học Ngoại thương, là nơi cung cấp, trao đổi thông tin của đơn vị công khai trên Internet. 3. Thư điện tử (email), là phương tiện liên lạc, trao đổi thông tin qua các hộp thư điện tử trên Internet, mỗi hộp thư điện tử của các đơn vị và cá nhân trong Trường sử dụng tên miền @ftu.edu.vn. 4. Tên miền (domain name) của Trường Đại học Ngoại thương là www.ftu.edu.vn, tên miền này đã được đăng ký và thuộc sở hữu của Trường. Chương II THƯ ĐIỆN TỬ Điều 3. Tên hộp thư điện tử Trường Đại học Ngoại thương sử dụng hệ thống thư điện tử có cấu trúc theo mẫu chung là Tên-hộp-thư@ftu.edu.vn. Điều 4. Phương thức thiết lập hệ thống thư điện tử Trường Đại học Ngoại thương sử dụng dịch vụ thư điện tử được Google cung cấp cho các trường đại học, theo tên miền riêng của Trường, cùng với các dịch vụ kèm theo. Điều 5. Cung cấp hộp thư điện tử 1. Trường Đại học Ngoại thương cung cấp miễn phí hộp thư điện tử theo tên miền của trường @ftu.edu.vn (bao gồm địa chỉ hộp thư và không gian lưu trữ hộp thư trên máy chủ) cho: a) Các đơn vị trong toàn trường; b) Giảng viên, cán bộ quản lý và nhân viên. c) Cá nhân làm công tác quản lý có hộp thư điện tử theo chức vụ;",FTU,283,1359,FTU-1A82F8EA01,2,True,True,True,False
CTX-FTU-1A82F8EA01-CH0003,quydinhtochuchoatdongthudientuvawebsite,"b) Giảng viên, cán bộ quản lý và nhân viên. c) Cá nhân làm công tác quản lý có hộp thư điện tử theo chức vụ; d) Sinh viên, học viên cao học, nghiên cứu sinh. 2. Một cá nhân có thể quản lý nhiều hộp thư điện tử: hộp thư cá nhân, hộp thư theo chức vụ, hộp thư theo tên đơn vị. Điều 6. Tên hộp thư điện tử, tên đầy đủ của cá nhân và tập thể trong thư điện tử 1. Tên hộp thư điện tử được đặt trước tên miền @ftu.edu.vn. 2. Tên hiển thị được đặt kèm theo một cách đầy đủ để người nhận thư biết rõ: Họ và Tên + Tên đơn vị trực thuộc + Trường Đại học Ngoại thương. 3. Hộp thư điện tử đối với cán bộ, viên chức có dạng: ten.demhoviettat@ftu.edu.vn hoặc mãcánbộ@ftu.edu.vn (một số trường hợp đặc biệt có thể điều chỉnh cho phù hợp và tránh trùng lặp). 4. Hộp thư điện tử đối với sinh viên, học viên có dạng: mãsinhviên@ftu.edu.vn 5. Các địa chỉ hộp thư điện tử với tên miền @ftu.edu.vn đã sử dụng lâu dài trước đây có thể được giữ lại và tạo địa chỉ mới kết nối đến địa chỉ cũ nhằm thuận tiện trong sử dụng và trao đổi thông tin. Người sử dụng có trách nhiệm cấu hình chuyển tiếp thư điện tử từ địa chỉ mới sang địa chỉ cũ. Trung tâm Thông tin và Khảo thí hỗ trợ về kỹ thuật. Điều 7. Nhóm thư điện tử (email group) Hộp thư điện tử được tạo theo nhóm để thuận tiện trong quản trị hệ thống và trao đổi thông tin.",FTU,284,1301,FTU-1A82F8EA01,3,True,True,True,False
CTX-FTU-1A82F8EA01-CH0004,quydinhtochuchoatdongthudientuvawebsite,"Điều 7. Nhóm thư điện tử (email group) Hộp thư điện tử được tạo theo nhóm để thuận tiện trong quản trị hệ thống và trao đổi thông tin. Mỗi đơn vị có hộp thư điện tử riêng theo dạng tênđơnvịviếttắt@ftu.edu.vn hoặc tênđơnvịviếttắt_nhóm@ftu.edu.vn để nhận các văn bản, chỉ đạo từ cấp trên, gửi văn bản đi, nhận văn bản đến của các tổ chức và cá nhân trong quá trình hoạt động, công tác. Nếu Trưởng đơn vị có yêu cầu, hộp thư điện tử đơn vị có thể lập theo yêu cầu của Trưởng đơn vị sao cho phù hợp với tên đơn vị đã và đang sử dụng. Trưởng đơn vị chịu trách nhiệm quản lý, phân công cán bộ, giảng viên phụ trách theo dõi, kiểm tra hộp thư điện tử của đơn vị. Điều 8. Sử dụng thư điện tử trong công tác hành chính, điều hành 1. Các thành viên của Trường phải dùng hộp thư điện tử với tên miền riêng của Trường đã được cấp khi giao dịch công tác với các cơ quan, đoàn thể và cá nhân. Tất cả các đơn vị, cán bộ, viên chức trong toàn trường phải sử dụng hộp thư điện tử được cấp trong công việc của trường. 2. Cán bộ được giao quản lý các hộp thư điện tử của đơn vị có trách nhiệm kiểm tra hộp thư thường xuyên, xử lý thông tin và báo cáo Trưởng đơn vị. 3. Không được gửi các loại văn bản mật qua hệ thống thư điện tử. 4. Người nhận thư cần có trách nhiệm xác thực lại nguồn gốc nội dung thư với người gửi qua các hình thức liên lạc khác. 5.",FTU,289,1334,FTU-1A82F8EA01,4,True,True,True,False
CTX-FTU-1A82F8EA01-CH0005,quydinhtochuchoatdongthudientuvawebsite,"4. Người nhận thư cần có trách nhiệm xác thực lại nguồn gốc nội dung thư với người gửi qua các hình thức liên lạc khác. 5. Văn bản được chuyển qua hệ thống thư điện tử theo đúng quy định của pháp luật, được đảm bảo xác thực trong giao dịch điện tử sẽ có giá trị pháp lý tương đương với văn bản giấy trong giao dịch giữa các cơ quan nhà nước và cơ quan gửi có thể không phải gửi thêm văn bản giấy. 6. Gửi nhận thông tin qua hệ thống thư điện tử: Thư điện tử được sử dụng để gửi các văn bản bao gồm: a) Lịch công tác của Trường (bên cạnh hình thức công bố trên website); b) Các tài liệu trao đổi phục vụ công việc, tài liệu phục vụ các cuộc họp; c) Những văn bản gửi đến những cơ quan để biết, để báo cáo; d) Sử dụng hệ thống thư điện tử để gửi, nhận các loại văn bản: thư mời, công văn, báo cáo các cấp, các thông tin chỉ đạo, điều hành của lãnh đạo và các văn bản khác. Điều 9. Sử dụng thư điện tử trong công tác đào tạo 1. Các đơn vị trực thuộc Trường gửi các thông tin, thông báo, tài liệu cho giảng viên, người học có liên quan. 2. Trao đổi thông tin giữa giảng viên và người học. 3. Thăm dò, lấy ý kiến về chương trình đào tạo và các nội dung hoạt động khác sau khi người học tốt nghiệp. Điều 10. Công tác an ninh, an toàn thông tin khi sử dụng thư điện tử 1.",FTU,282,1263,FTU-1A82F8EA01,5,True,True,True,False
CTX-FTU-1A82F8EA01-CH0006,quydinhtochuchoatdongthudientuvawebsite,"3. Thăm dò, lấy ý kiến về chương trình đào tạo và các nội dung hoạt động khác sau khi người học tốt nghiệp. Điều 10. Công tác an ninh, an toàn thông tin khi sử dụng thư điện tử 1. Tuân thủ các quy định về an ninh, an toàn, bảo mật thông tin trong quá trình sử dụng hệ thống thư điện tử, các hành vi bị nghiêm cấm theo quy định của pháp luật, quy định sử dụng thư điện tử của Trường và các quy định có liên quan khác của Nhà nước. 2. Không được gửi thư rác. 3. Không được cố tình phát tán thư, chuyển tiếp thư có nội dung văn hóa đồi trụy, chống phá Nhà nước, kích động bạo lực và chiến tranh, gây chia rẽ đoàn kết giữa các dân tộc, giữa các tôn giáo và các đơn thư khiếu nại, khiếu tố, bôi xấu nhà trường, gây chia rẽ nội bộ. 4. Khi có hiện tượng gây rối, làm mất an ninh, an toàn thông tin trên mạng, cần thông báo ngay cho người có trách nhiệm, lãnh đạo đơn vị hoặc Trung tâm Thông tin và Khảo thí để xử lý. Chương III TRANG THÔNG TIN ĐIỆN TỬ Điều 11. Chức năng của trang thông tin điện tử (website) của trường và của các đơn vị 1. Thông tin trên trang thông tin điện tử của Trường và của các đơn vị có giá trị pháp lý. Trang thông tin điện tử (website) của Trường sau đây gọi tắt là website trường, website của các đơn vị sau đây gọi tắt là website đơn vị, website trường và website đơn vị gọi tắt là các website. 2.",FTU,289,1319,FTU-1A82F8EA01,6,True,True,True,False
CTX-FTU-1A82F8EA01-CH0007,quydinhtochuchoatdongthudientuvawebsite,"2. Website trường và website đơn vị là tiêu chí quan trọng để tự thể hiện năng lực, trách nhiệm công khai thông tin của Trường đối với xã hội và phải chịu trách nhiệm pháp lý trước pháp luật. Điều 12. Nhiệm vụ của các website 1. Công bố công khai, đầy đủ, chính xác và kịp thời các thông tin của Trường và các đơn vị. 2. Xây dựng mối quan hệ trực tuyến giữa nhà Trường với các tổ chức, cá nhân trong nước và quốc tế theo quy định của pháp luật. Điều 13. Quản lý website trường và các website đơn vị 1. Hiệu trưởng quyết định thành lập Ban Biên tập website gồm Hiệu trưởng làm Trưởng ban, thư ký, các biên tập viên và kỹ thuật viên. 2. Nhiệm vụ của Ban Biên tập website: a) Xây dựng và vận hành các website, bao gồm các cấu phần: hạ tầng kết nối mạng, thiết bị, máy chủ, phần mềm, nhân lực, đào tạo, nội dung, sao lưu, chống xâm hại trái phép, chống virus, gỡ bỏ thông tin không phù hợp khi được phát hiện; b) Xây dựng quy chế hoạt động và cung cấp thông tin, dữ liệu của các đơn vị trong toàn trường. Chỉ đạo, đôn đốc các đơn vị cung cấp thông tin và dữ liệu; rà soát, kiểm tra, cập nhật bổ sung thông tin và xuất bản thông tin công khai trên các website; c) Biên tập, xử lý thông tin của các chuyên mục và chuyên đề; d) Tổng hợp ý kiến đóng góp của người truy cập; báo cáo và đề xuất biện pháp xử lý kịp thời với lãnh đạo nhà Trường; tổ chức trao đổi, thảo luận, lấy ý kiến thông qua website;",FTU,300,1393,FTU-1A82F8EA01,7,True,True,True,False
CTX-FTU-1A82F8EA01-CH0008,quydinhtochuchoatdongthudientuvawebsite,"d) Tổng hợp ý kiến đóng góp của người truy cập; báo cáo và đề xuất biện pháp xử lý kịp thời với lãnh đạo nhà Trường; tổ chức trao đổi, thảo luận, lấy ý kiến thông qua website; đ) Gửi tin, bài, dữ liệu của Trường về website của Bộ Giáo dục và Đào tạo theo quy định. Cập nhật và tuyên truyền các trang thông tin chuyên đề hữu ích cho Trường và tin tức từ website của Bộ Giáo dục và Đào tạo. 3. Biên tập viên chịu trách nhiệm quản lý nội dung các chuyên mục thông tin của các website trường và các website đơn vị theo sự phân công của Trưởng ban. 4. Kỹ thuật viên có nhiệm vụ thiết kế, xây dựng và quản trị các website bao gồm đăng ký và quản lý tên miền; quản lý chỗ đặt các website và máy chủ chứa các website; phân cấp, phân quyền, tạo tài khoản, tạo mật khẩu; triển khai các biện pháp an toàn, an ninh cho hệ thống các website. 5. Hoạt động trên các website phải tuân thủ các quy định của pháp luật về quản lý thông tin mạng Internet và các quy định pháp luật hiện hành liên quan. 6. Khi đăng tải lại thông tin trên website, phải ghi rõ nguồn thông tin trích dẫn. Điều 14. Trách nhiệm phối hợp tổ chức, cung cấp và cập nhật thông tin, dữ liệu của các đơn vị trên các website 1. Các đơn vị trực thuộc Trường có trách nhiệm phối hợp, cung cấp đầy đủ, chính xác và kịp thời cho các website những nội dung thông tin, dữ liệu thuộc lĩnh vực do đơn vị quản lý và quy định tại Chương IV của Quy định này.",FTU,301,1398,FTU-1A82F8EA01,8,True,True,True,False
CTX-FTU-1A82F8EA01-CH0009,quydinhtochuchoatdongthudientuvawebsite,"2. Trưởng các đơn vị chịu trách nhiệm trước Hiệu trưởng về thông tin, dữ liệu mà đơn vị cung cấp. Điều 15. Thời hạn cung cấp và cập nhật thông tin, dữ liệu trên website Nội dung thông tin trên website phải được cung cấp và cập nhật nhanh, kịp thời. 1. Đối với các văn bản, phải đưa ngay sau khi văn bản được ký và đóng dấu trong ngày. 2. Đối với các sự kiện, phải đưa ngay sau không quá 03 ngày kể từ khi kết thúc. Điều 16. Căn cứ quy định chung về thông tin đưa lên các websites 1. Khoản 2, Điều 28 Luật Công nghệ thông tin ngày 29 tháng 6 năm 2006. 2. Thông tư số 09/2009/TT-BGDĐT ngày 07 tháng 5 năm 2009 của Bộ trưởng Bộ Giáo dục và Đào tạo về việc Thực hiện công khai đối với cơ sở giáo dục đại học. Trường công khai các thông tin trên website gồm: a) Công khai cam kết chất lượng giáo dục và chất lượng giáo dục thực tế; b) Công khai điều kiện đảm bảo chất lượng giáo dục; c) Công khai thu chi tài chính. Điều 17. Áp dụng công nghệ và các tiêu chuẩn cho các websites 1. Thống nhất sử dụng bộ mã Unicode, tiếng Việt và tiếng Anh. 2. Có công cụ tìm kiếm toàn văn. 3. Ưu tiên khai thác và sử dụng công nghệ phần mềm mã nguồn mở để xây dựng website. Chương IV NỘI DUNG THÔNG TIN TRÊN TRANG THÔNG TIN ĐIỆN TỬ Điều 18. Thông tin chung về tổ chức, hành chính 1. Thông tin giới thiệu về tổ chức, chức năng, nhiệm vụ, quyền hạn của Trường và của từng đơn vị trực thuộc.",FTU,296,1366,FTU-1A82F8EA01,9,True,True,True,False
CTX-FTU-1A82F8EA01-CH0010,quydinhtochuchoatdongthudientuvawebsite,"Thông tin chung về tổ chức, hành chính 1. Thông tin giới thiệu về tổ chức, chức năng, nhiệm vụ, quyền hạn của Trường và của từng đơn vị trực thuộc. Các đơn vị trong toàn trường có một website riêng nằm trong hệ thống website của trường. Thông tin cơ bản trên website trường bao gồm: a) Sứ mạng và tầm nhìn của Trường; b) Sơ đồ cơ cấu tổ chức; c) Chức năng, nhiệm vụ, quyền hạn của từng đơn vị trực thuộc; d) Tóm lược quá trình hình thành và phát triển của Trường và các đơn vị; đ) Họ và tên, chức vụ, điện thoại, địa chỉ hộp thư điện tử chính thức, nhiệm vụ đảm nhiệm của lãnh đạo trường, lãnh đạo trong các đơn vị; e) Thông tin giao dịch: địa chỉ, điện thoại, số fax, địa chỉ hộp thư điện tử chính thức để giao dịch và tiếp nhận thông tin của các đơn vị; g) Danh sách cán bộ, giảng viên (kèm theo chức vụ, chức danh học hàm, học vị và địa chỉ hộp thư điện tử) của từng khoa, bộ môn và các đơn vị trong toàn Trường. 2. Các văn bản quy định có liên quan đến hoạt động của Trường. 3. Thông tin về thủ tục hành chính bao gồm: Các quy trình, thủ tục, hồ sơ, nơi tiếp nhận, tên và thông tin giao dịch của người trực tiếp xử lý hồ sơ, thời hạn giải quyết và các thông tin liên quan. 4. Thông tin tuyên truyền, phổ biến, hướng dẫn thực hiện pháp luật, chế độ, chính sách, chiến lược và quy hoạch của Trường. 5. Mục lấy ý kiến đóng góp của tổ chức, cá nhân. 6.",FTU,293,1352,FTU-1A82F8EA01,10,True,True,True,False
