context_id,title,text,word_count,char_count
2070-9414-7446,"Quyết định phê duyệt Chương trình chuyển đổi số hoạt động phòng, chống HIV/AIDS giai đoạn 2025 - 2030","V. GIAI PHÁP 1. Hoàn thiện thể chế về chuyển đổi số trong lĩnh vực phòng chồng HIV/AIDS, đáp ứng các nhiệm vụ được giao trong Chiến lược Quốc gia chấm dứt dịch bệnh AIDS vào năm 2030 và Chương trình mục tiêu Quốc gia về Phòng, chống ma túy đến năm 2030 1.1. Rà soát, sửa đổi và bổ sung các văn bản quy phạm pháp luật thực hiện chuyển đổi số trong lĩnh vực phòng, chống HIV/AIDS, đáp ứng các nhiệm vụ được giao trong Chiến lược Quốc gia chấm dứt dịch bệnh AIDS vào năm 2030 và Chương trình mục tiêu Quốc gia về Phòng, chống ma túy đến năm 2030: Xây dựng định mức kinh tế - kỹ thuật về lĩnh vực phòng chống HIV/AIDS và đáp ứng y tế trong phòng, chống ma túy gắn với chuyển đổi số. 1.2. Hoàn thiện bệnh án ngoại trú, bệnh án điện tử điều trị người nhiễm HIV, người phơi nhiễm với HIV, hướng dẫn chuẩn định dạng dữ liệu đầu ra đối với khám chữa bệnh HIV/AIDS phù hợp với yêu cầu chuyển đổi số trong công tác khám chữa bệnh và quản lý giám sát ca bệnh HIV hướng đến mục tiêu kết thúc bệnh dịch AIDS vào năm 2030. 1.3. Rà soát, hoàn thiện các hướng dẫn chuyên môn về lĩnh vực phòng, chống HIV/AIDS và đáp ứng các nhiệm vụ được giao trong Chương trình mục tiêu Quốc gia về Phòng, chống ma túy đến năm 2030: - Xây dựng văn bản hướng dẫn liên thông thông tin HIV/AIDS giữa các hệ thống thông tin quản lý HIV/AIDS với nhau và với các hệ thống thông tin có liên quan khác; - Xây dựng hướng dẫn về đảm bảo an toàn thông tin và tính riêng tư của thông tin HIV/AIDS; - Xây dựng văn bản hướng dẫn áp dụng danh mục dùng chung trong các hệ thống thông tin HIV/AIDS ; - Hướng dẫn ứng dụng chữ ký số trong các biểu mẫu, trong đó có phiếu trả kết quả xét nghiệm khẳng định HIV trên nền tảng hệ thống HIV-INFO; - Nghiên cứu, ban hành các hướng dẫn chuyên môn về chuyển đổi số trong các lĩnh vực phòng, chống HIV/AIDS; - Hoàn thiện hướng dẫn quốc gia về việc triển khai ứng dụng HIV[ED trong công tác quản lý dữ liệu bệnh nhân điều trị ARV, báo cáo theo yêu cầu của chương trình phòng, chống HIV/AIDS quốc gia; - Nghiên cứu, áp dụng các tiêu chuẩn quốc tế như HL7 FHIR trong liên thông dữ liệu HIV/AIDS.",437,2081
4130-7164-7122,"V/v báo giá và kế hoạch cung ứng các thuốc biệt dược gốc, SPTC dự kiến đàm phán giá năm 2024-2025","PHỤ LỤC 2: BÁO GIÁ VÀ TỔNG HỢP THÔNG TIN CÁC THUỐC DỰ KIẾN ĐÀM PHÁN GIÁ NĂM 2024-2025 TT Mã Tên Tên Nồng Đường Số Thời Dạng Quy Nhà ĐVT Đơn giá Đơn giá Số Đã có Khả Ghi chú thuốc thuốc hoạt độ, dùng đăng hạn số bào cách sản trúng cung cấp lượng generic/ năng (thông chất hàm ký đăng chế đóng xuất thầu cho đã Chưa cung tin lượng ký gói - thấp CSYT cung có ứng GPLH, Nước nhất năm ứng generic trong so sánh sản trong 2024 - cho giai với giá xuất vòng 12 2025 các đoạn trúng tháng/ (có VAT) CSYT 2025 thầu giá trúng năm - ĐPG, thầu 2023 2027 chương ĐPG trình hỗ (có VAT) trợ bệnh nhân,... Công ty cam kết báo giá có hiệu lực kể từ ngày ký đến hết ngày 31/12/2025.",145,661
9504-4219-6802,"XNQC: CÔNG TY TNHH THƯƠNG MẠI 7WEALTH. Địa chỉ: Lô 01A-B1 Tòa R2 Royal City, số 72A Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Thành phố Hà Nội, Việt Nam. Mã hồ sơ: 2500319-0054. BOSWELLIA","Trong hội thảo, hội nghị, đào tạo, trong hộp sản phẩm. Có nội dung quảng cáo (đính kèm) đã được duyệt phù hợp với quy định hiện hành. Yêu cầu tổ chức, cá nhân có trách nhiệm quảng cáo đúng nội dung đã được xác nhận./.",46,217
9377-8946-2909,Quyết định Về việc ban hành tài liệu chuyên môn “Hướng dẫn chẩn đoán và điều trị bệnh sởi”,"2.7.6. Khởi phát bệnh lao Nhiễm Sởi có thể ức chế đáp ứng miễn dịch qua trung gian tế bào, làm giảm phản ứng tuberculin khi xét nghiệm Mantoux. Ở những bệnh nhân đang nhiễm lao tiềm ẩn nhiễm Sởi có thể tăng nguy cơ kích hoạt bệnh lao phổi.",50,239
4913-3234-8799,xin ý kiến về hồ sơ dự thảo Nghị định quy định chi tiết một số điều và biện pháp thi hành Luật Dược,"2. Về thuốc phải kiểm soát đặc biệt Nghị định số 54/2017/NĐ-CP và Nghị định số 155/2018/NĐ-CP đã quy định chi tiết một số điều của Luật dược. Từ đó các cơ sở y tế, cơ sở kinh doanh dược đã thực hiện các hoạt động bảo quản, sản xuất, xuất nhập khẩu, pha chế, cấp phát, sử dụng, hủy, giao nhận, vận chuyển, báo cáo về thuốc và nguyên liệu làm thuốc phải kiểm soát đặc biệt theo quy định này. Trên cơ sở quy định do Luật Dược giao, Chính phủ ban hành Nghị định 54/2017/NĐ-CP ngày 08/5/2017, đến năm 2018, sửa đổi một số điều quy định về điều kiện đầu tư kinh doanh theo hướng đơn giản hóa thủ tục hành chính và điều kiện. Thực hiện các quy định trên, Bộ Y tế và Sở Y tế là các cơ quan có thẩm quyền cấp giấy chứng nhận đủ điều kiện kinh doanh dược cho các cơ sở kinh doanh dược cũng như cấp phép nhập khẩu, xuất khẩu thuốc theo quy định. Việc triển khai các thủ tục trên đã được cải cách và dần chuyển sang thực hiện theo hình thức trực tuyến, rút ngắn thời gian xử lý, số lượng cơ sở được cấp phép đều tăng qua các năm.",218,1017
5265-2112-9405,"trả lời kiến nghị của cử tri tỉnh Đắk Lắk trước Kỳ họp thứ 9, Quốc hội khóa XV","3. Kiến nghị, đề xuất với Chính phủ khi triển khai chủ trương, đề án sáp nhập, các Trung tâm y tế cấp huyện chuyển thành Bệnh viện khu vực (liên xã, phường) trực thuộc Sở Y tế quản lý; sáp nhập các trạm y tế cấp xã trực thuộc xã, phường (mới) quản lý, để đảm bảo thăm khám, sơ cứu ban đầu. Thực hiện Kết luận số 137-KL/TW ngày 28/3/2025 của Bộ Chính trị, Ban Bí thư về Đề án sắp xếp tổ chức lại đơn vị hành chính các cấp và xây dựng mô hình tổ chức chính quyền địa phương 02 cấp; Nghị quyết số 74/NQ-CP ngày 07/4/2025 của Chính phủ ban hành Kế hoạch thực hiện sắp xếp đơn vị hành chính các cấp và xây dựng mô hình tổ chức chính quyền địa phương 02 cấp. Ngày 23/6/2025, Bộ Y tế đã ban hành Thông tư số 20/2025/TT-BYT ngày 23/6/2025 về việc hướng dẫn chức năng, nhiệm vụ, quyền hạn của cơ quan chuyên môn về y tế thuộc Ủy ban nhân dân tỉnh, thành phố trực thuộc Trung ương và Ủy ban nhân dân xã, phường, đặc khu thuộc tỉnh, thành phố trực thuộc Trung ương. Hiện tại, Bộ Y tế đang khẩn trương xây dựng, xin ý kiến và hoàn thiện Thông tư hướng dẫn chức năng, nhiệm vụ của Trạm y tế cấp xã phù hợp với mô hình tổ chức chính quyền 02 cấp (dự kiến Trạm y tế cấp xã là đơn vị sự nghiệp hoàn chỉnh).",258,1190
3205-8075-1413,V/v đăng tải xin ý kiến đối với dự thảo Thông tư quy định về giám định tư pháp theo vụ việc trong lĩnh vực y tế,"BỘ Y TẾ CỘNG HOÀ XÃ HỘI CHỦ NGHĨA VIỆT NAM THANH TRA BỘ Độc lập - Tự do - Hạnh phúc Số: /TTrB-P3 Hà Nội, ngày tháng năm 2024 V/v đăng tải xin ý kiến đối với dự thảo Thông tư quy định về giám định tư pháp theo vụ việc trong lĩnh vực y tế Kính gửi: - Cổng thông tin điện tử Chính phủ; - Công thông tin điện tử Bộ Y tế.",76,316
2120-2162-4235,"Quyết định xử phạt vi phạm hành chính về lĩnh vực hóa chất chế phẩm diệt côn trùng, diệt khuẩn đối với Công ty TNHH MTV giải pháp nông nghiệp Tiên Tiến - Long An","Điều 2. Quyết định này có hiệu lực thi hành kể từ ngày ký, ban hành. Điều 3. Quyết định này được: 1. Giao cho Ông Lê Trung Huân - Giám đốc Công ty là đại diện cho tổ chức vi phạm có tên ghi tại Điều 1 Quyết định này để chấp hành. Công ty TNHH Một Thành Viên giải pháp nông nghiệp Tiên Tiến - Long An phải nghiêm chỉnh chấp hành quyết định xử phạt này. Nếu quá thời hạn mà Công ty TNHH Một Thành Viên giải pháp nông nghiệp Tiên Tiến - Long An không tự nguyện chấp hành thì sẽ bị cưỡng chế thi hành theo quy định của pháp luật. Công ty TNHH Một Thành Viên giải pháp nông nghiệp Tiên Tiến - Long An bị xử lý phải nộp tiền phạt tại Kho bạc nhà nước Hà Nội, số tài khoản 7111 thu, mã chương 023, cơ quan quản lý thu Sở tài chính Thành phố Hà Nội (mã 1058986) hoặc nộp tiền vào tài khoản thu ngân sách của Kho bạc Nhà nước Hà Nội như sau: 3 Ngân hàng Vietcombank, BIDV, Agribank, Viettinbank, MB trong thời hạn 10 ngày kể từ ngày nhận được quyết định này. Gửi biên lai nộp tiền phạt cho Thanh tra Bộ Y tế. Công ty TNHH Một Thành Viên giải pháp nông nghiệp Tiên Tiến - Long An có quyền khiếu nại hoặc khởi kiện hành chính đối với Quyết định này theo quy định của pháp luật. 2. Gửi cho Kho bạc Nhà nước Hà Nội hoặc các Ngân hàng nêu trên để thu tiền phạt. 3. Gửi cho Phòng thanh tra y tế dự phòng - Thanh tra Bộ Y tế để tổ chức thực hiện Quyết định này.",297,1345
7532-7392-2076,Xử phạt vi phạm hành chính trong lĩnh vực y tế Công ty TNHH Đại Bắc,3. Quy định tại: 3.1. Hành vi 1: điểm b khoản 2 Điều 58 của Nghị định số 117/2020/NĐ-CP ngày 28/9/2020 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực y tế. 3.2. Hành vi: 2 điểm a khoản 3 Điều 58 của Nghị định số 117/2020/NĐ-CP ngày 28/9/2020 của Chính phủ quy định về xử phạt vi phạm hành chính trong lĩnh vực y tế.,72,336
8306-6138-3181,Phê duyệt giá KCB bệnh viện mắt TW,"Phụ lục III GIÁ DỊCH VỤ KỸ THUẬT VÀ XÉT NGHIÊM (Ban hành kèm theo Quyết định số /QĐ-BYT ngày / 12/2024 của Bộ Y tể) Đơn vị: đồng OTT 1 Mã tương 1 Mã kỹ thuật 1T ên danh mục kỹ thuật theo Thông Tên dịch vụ phê duyệt giá Tên dịch vụ TT22 Mức giá Ghi chú Dm 11 I dương 1 theo TT23/2024 I tư 23/2024/TT-BVT mm-n m m 222.300 73.300 Áp dụng cho 01 vị trí n= 5 1 8.0073.0028 18.73 lchụp X-quang Hirtz lcfi.yp, X-quang HiFtz [sô hóa 1 lchụp Xquang số hóa 1 phim 73.300 Áp dụng cho 01 vị trí - - - 1131ilrn es 6 1 8.0120.0028 18.120 chếch mỗi bên l'::-_-----' ---- ---- L Ổ h ó a l p h i 1r1[1 73.300 Áp dụng cho 0 1 vị trí 2irn 7 1 8.01 19.0028 18.119 73.300 Áp dụng cho 0 1 vị trí 8 1 8.0067.0028 18.67 nn rri 73.300 Áp dụng cho 01 vị trí 9 114.0238.o029 14.238 105.300 Áp dụng cho 01 vị trí m Ma m 11 118.o071.o029 18.71 1ri[i 105.300 Áp dụng cho 01 vị trí hư;ỮP 12 118.o067.o029 18.67 Áp dụng cho 01 vị trí 9X 13 118.0160.o040 18.160 14 118.0149.o040 18.149 dãy [: không có 1550 loo cản quang (từ 1-32 adãy) tnónIthuô+c cản! qu!ang (từ 1-32 dãy) 1thuổc cản quang 15 118.0160.o041 18.160 !i:áTTì3 tLuianM 16 118.0150.o041 18.150 có thuỐc 1663 400 từ 1-32 dãy) cản quang (từ 1-32 dãy) 1c ăn quan luang' k/ A 7/ Bệnh viện Mắt Trung ƯƠng.",260,1229
