qid,question,answer,context
0,"Xin chào, cho em xin thông tin tổng quát về tuyển sinh như bao nhiêu chỉ tiêu, bao nhiêu ngành, bao nhiêu chuyên ngành và tổng công có bao nhiêu chương trình đào tạo Chính quy năm 2025 của Trường ĐH Bách khoa (mã QSB) được không?","40 NGÀNH \- HƠN 60 CHUYÊN NGÀNH \- TỔNG CHỈ TIÊU: 5.550 SINH VIÊN

- Chương trình Tiêu chuẩn
- Chương trình Tài năng
- Chương trình Tiên tiến
- Chương trình PFIEV
- Chương trình Dạy và học bằng tiếng Anh
- Chương trình Định hướng Nhật bản
- Chương trình Chuyển tiếp Quốc tế (Úc, Mỹ, New Zealand)
- Chương trình Chuyển tiếp Quốc tế (Nhật Bản)
- Chương trình Liên kết Cử nhân Kỹ thuật Quốc tế","THÔNG TIN TUYỂN SINH ĐẠI HỌC CHÍNH QUY
TRƯỜNG ĐẠI HỌC BÁCH KHOA NĂM 2025
MÃ TRƯỜNG: QSB
40 NGÀNH - HƠN 60 CHUYÊN NGÀNH - TỔNG CHỈ TIÊU: 5.550 SINH VIÊN

1. CHƯƠNG TRÌNH ĐÀO TẠO
Chương trình Tiêu chuẩn
Đào tạo 40 ngành/ chuyên ngành (các ngành tuyển sinh theo nhóm ngành sẽ phân ngành từ năm thứ 2 theo kết quả học tập), giảng dạy bằng tiếng Việt, học phí khoảng 15 triệu đồng/HK, kế hoạch đào tạo 4 năm, địa điểm học tại Cơ sở Dĩ An

Chương trình Tài năng
Đào tạo 15 nhóm ngành/ ngành, dạy bằng tiếng Việt (dựa trên chương trình Tiêu chuẩn với các môn cốt lõi dành cho chương trình Tài năng), học phí khoảng 15 triệu đồng/HK, xét tuyển sinh viên Giỏi từ năm thứ 2, kế hoạch đào tạo 4 năm."
1,"Em muốn biết Chương trình Tiêu chuẩn của trường đào tạo như thế nào, có bao nhiêu ngành, học phí ra sao và học ở đâu?","Đào tạo 40 ngành/ chuyên ngành (các ngành tuyển sinh theo nhóm ngành sẽ phân ngành từ năm thứ 2 theo kết quả học tập), giảng dạy bằng tiếng Việt, học phí **khoảng 15 triệu đồng/HK**, kế hoạch đào tạo 4 năm, địa điểm học tại Cơ sở Dĩ An","1. CHƯƠNG TRÌNH ĐÀO TẠO
Chương trình Tiêu chuẩn
Đào tạo 40 ngành/ chuyên ngành (các ngành tuyển sinh theo nhóm ngành sẽ phân ngành từ năm thứ 2 theo kết quả học tập), giảng dạy bằng tiếng Việt, học phí khoảng 15 triệu đồng/HK, kế hoạch đào tạo 4 năm, địa điểm học tại Cơ sở Dĩ An"
2,"Em học lực Giỏi, muốn tham gia Chương trình Tài năng có điều kiện gì không ạ? Ngoài ra cho em hỏi chương trình đào tạo bao nhiêu nhóm ngành, bằng ngôn ngữ gì, học phí bao nhiêu và thời gian bao lâu?","Đào tạo 15 nhóm ngành/ ngành, dạy bằng tiếng Việt (dựa trên chương trình Tiêu chuẩn với các môn cốt lõi dành cho chương trình Tài năng), học phí **khoảng 15 triệu đồng/HK**, xét tuyển sinh viên Giỏi từ năm thứ 2, kế hoạch đào tạo 4 năm.","Chương trình Tài năng
Đào tạo 15 nhóm ngành/ ngành, dạy bằng tiếng Việt (dựa trên chương trình Tiêu chuẩn với các môn cốt lõi dành cho chương trình Tài năng), học phí khoảng 15 triệu đồng/HK, xét tuyển sinh viên Giỏi từ năm thứ 2, kế hoạch đào tạo 4 năm."
3,"Em đang có IELTS 6.5, cho em hỏi Chương trình Tiên tiến yêu cầu tiếng Anh đầu vào ra sao?",**Chuẩn tiếng Anh đầu vào đạt IELTS (Academic) ≥ 6.0**/ TOEFL iBT ≥ 79/ TOEIC Nghe \- Đọc ≥ 730 & Nói \- Viết ≥ 280\,"Chương trình Tiên tiến
Đào tạo 1 ngành, dạy hoàn toàn bằng tiếng Anh, giáo trình chuyển giao từ ĐH Illinois Urbana Champaign, được cải tiến qua các năm để phù hợp với thực tiễn, học phí khoảng 40 triệu đồng/HK, kế hoạch đào tạo 4 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. Chuẩn tiếng Anh đầu vào đạt IELTS (Academic) ≥ 6.0/ TOEFL iBT ≥ 79/ TOEIC Nghe - Đọc ≥ 730 & Nói - Viết ≥ 280. Bằng tốt nghiệp do Trường ĐH Bách khoa cấp."
4,"Con tôi quan tâm PFIEV – Kỹ sư Việt–Pháp, cho tôi biết chi tiết về ngành, học phí, địa điểm học và bằng cấp đươc cấp ra sao?","Đào tạo 8 chuyên ngành kỹ sư hợp tác với 8 trường kỹ sư danh tiếng tại Pháp, học tập bằng tiếng Việt, học phí **khoảng 15 triệu đồng/HK**, xét tuyển tân sinh viên đã trúng tuyển (không phân biệt mã ngành), kế hoạch đào tạo 5 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. Bằng kỹ sư \- thạc sĩ do trường ĐH Bách khoa cấp (được công nhận tương đương bậc thạc sĩ Châu Âu), phụ lục bằng kỹ sư với trường đối tác Pháp.","Chương trình Kỹ sư Chất lượng cao Việt-Pháp (PFIEV)
Đào tạo 8 chuyên ngành kỹ sư hợp tác với 8 trường kỹ sư danh tiếng tại Pháp, học tập bằng tiếng Việt, học phí khoảng 15 triệu đồng/HK, xét tuyển tân sinh viên đã trúng tuyển (không phân biệt mã ngành), kế hoạch đào tạo 5 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. Bằng kỹ sư - thạc sĩ do trường ĐH Bách khoa cấp (được công nhận tương đương bậc thạc sĩ Châu Âu), phụ lục bằng kỹ sư với trường đối tác Pháp."
5,"Em muốn học hoàn toàn bằng tiếng Anh, chương trình nào phù hợp, hãy cho em thông tin chi tiết của từng chương trình như số ngành, thời gian, học phí, bằng cấp như thế nào,..?","**Chương trình Dạy và học bằng tiếng Anh**

Đào tạo 27 ngành/ chuyên ngành (gồm 05 ngành/ chuyên ngành dự kiến), dạy hoàn toàn bằng tiếng Anh, học phí **khoảng 40 triệu đồng/HK**, kế hoạch đào tạo 4 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. **Chuẩn tiếng Anh đầu vào đạt IELTS (Academic) ≥ 6.0**/ TOEFL iBT ≥ 79/ TOEIC Nghe \- Đọc ≥ 730 & Nói \- Viết ≥ 280\. Bằng tốt nghiệp do Trường ĐH Bách khoa cấp.","Chương trình Dạy và học bằng tiếng Anh
Đào tạo 27 ngành/ chuyên ngành (gồm 05 ngành/ chuyên ngành dự kiến), dạy hoàn toàn bằng tiếng Anh, học phí khoảng 40 triệu đồng/HK, kế hoạch đào tạo 4 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. Chuẩn tiếng Anh đầu vào đạt IELTS (Academic) ≥ 6.0/ TOEFL iBT ≥ 79/ TOEIC Nghe - Đọc ≥ 730 & Nói - Viết ≥ 280. Bằng tốt nghiệp do Trường ĐH Bách khoa cấp."
6,"Học phí của Chương trình Định hướng Nhật Bản là bao nhiêu, và học ở cơ sở nào? Bằng tốt nghiệp chương trình này do ai cấp và cơ hội nghề nghiệp ra sao?","Đào tạo 2 ngành, dạy chuyên môn theo chương trình Tiêu chuẩn kết hợp đào tạo tiếng Nhật giao tiếp \- chuyên ngành (1.200 giờ) và văn hóa Nhật, một số môn chuyên ngành ở năm thứ 3 và 4 do các giáo sư Nhật dạy bằng tiếng Nhật, học phí **khoảng 30 triệu đồng/HK**, kế hoạch đào tạo 4 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. Bằng tốt nghiệp do Trường ĐH Bách khoa cấp, có triển vọng làm việc lâu dài tại các tập đoàn Nhật, đãi ngộ như kỹ sư Nhật.","Chương trình Định hướng Nhật Bản
Đào tạo 2 ngành, dạy chuyên môn theo chương trình Tiêu chuẩn kết hợp đào tạo tiếng Nhật giao tiếp - chuyên ngành (1.200 giờ) và văn hóa Nhật, một số môn chuyên ngành ở năm thứ 3 và 4 do các giáo sư Nhật dạy bằng tiếng Nhật, học phí khoảng 30 triệu đồng/HK, kế hoạch đào tạo 4 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. Bằng tốt nghiệp do Trường ĐH Bách khoa cấp, có triển vọng làm việc lâu dài tại các tập đoàn Nhật, đãi ngộ như kỹ sư Nhật."
7,"Chương trình Chuyển tiếp Quốc tế (Úc, Mỹ, NZ) có cơ chế học và học phí ra sao?","Đào tạo 15 ngành/ chuyên ngành, dạy hoàn toàn bằng tiếng Anh; 2-2,5 năm đầu \- địa điểm học tại Cơ sở Lý Thường Kiệt, học phí **khoảng 40 triệu đồng/HK**; 2-2,5 năm cuối \- chuyển tiếp sang ĐH đối tác, học phí **khoảng 560 \- 900 triệu đồng/năm**. **Chuẩn tiếng Anh đầu vào đạt IELTS (Academic) ≥ 6.0/ TOEFL iBT ≥ 79/ TOEIC Nghe \- Đọc ≥ 730 & Nói \- Viết ≥ 280, chuẩn tiếng Anh chuyển tiếp đạt IELTS (Academic) ≥ 6.0-6.5**/ TOEFL iBT ≥ 79-83. Bằng tốt nghiệp do Đại học đối tác cấp.","Chương trình Chuyển tiếp Quốc tế (Úc, Mỹ, New Zealand)
Đào tạo 15 ngành/ chuyên ngành, dạy hoàn toàn bằng tiếng Anh; 2-2,5 năm đầu - địa điểm học tại Cơ sở Lý Thường Kiệt, học phí khoảng 40 triệu đồng/HK; 2-2,5 năm cuối - chuyển tiếp sang ĐH đối tác, học phí khoảng 560 - 900 triệu đồng/năm. Chuẩn tiếng Anh đầu vào đạt IELTS (Academic) ≥ 6.0/ TOEFL iBT ≥ 79/ TOEIC Nghe - Đọc ≥ 730 & Nói - Viết ≥ 280, chuẩn tiếng Anh chuyển tiếp đạt IELTS (Academic) ≥ 6.0-6.5/ TOEFL iBT ≥ 79-83. Bằng tốt nghiệp do Đại học đối tác cấp."
8,"Chương trình Liên kết Cử nhân Kỹ thuật Quốc tế về thời gian đào tạo, nơi đào tạo, ngôn ngữ giảng dạy, học phí và bằng cấp như thế nào?","Đào tạo 2 ngành, dạy hoàn toàn bằng tiếng Anh, theo chương trình đào tạo của ĐH đối tác, giảng viên ĐH đối tác và trường Đại học Bách khoa cùng giảng dạy. Học phí khoảng 128 triệu đồng/HK, kế hoạch đào tạo 3 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. Chuẩn tiếng Anh đầu vào đạt **IELTS (Academic)** **≥ 6.5** hoặc tương đương. Bằng tốt nghiệp do ĐH đối tác cấp.","Chương trình Liên kết Cử nhân Kỹ thuật Quốc tế
Đào tạo 2 ngành, dạy hoàn toàn bằng tiếng Anh, theo chương trình đào tạo của ĐH đối tác, giảng viên ĐH đối tác và trường Đại học Bách khoa cùng giảng dạy. Học phí khoảng 128 triệu đồng/HK, kế hoạch đào tạo 3 năm, địa điểm học tại Cơ sở Lý Thường Kiệt. Chuẩn tiếng Anh đầu vào đạt IELTS (Academic) ≥ 6.5 hoặc tương đương. Bằng tốt nghiệp do ĐH đối tác cấp."
9,"Cho em hỏi mã ngành, chỉ tiêu ngành, và các chuyên ngành của Khoa học Máy tính Tiêu chuẩn?","Mã ngành: 106, Chỉ tiêu: 240, Các chuyên ngành: Chuyên ngành: Khoa học Máy tính, Công nghệ Dữ liệu và Dữ liệu lớn, An ninh Hệ thống và Mạng, Trí tuệ Nhân tạo, Công nghệ Phần mềm","2. NGÀNH TUYỂN SINH

3. PHƯƠNG THỨC TUYỂN SINH (DỰ KIẾN)
Xét tuyển thẳng (theo quy chế tuyển sinh của Bộ GD&ĐT), chỉ tiêu: 1% ~ 5% tổng chỉ tiêu.
Xét tuyển tổng hợp, chỉ tiêu: 95% ~ 99% tổng chỉ tiêu.
• Đối tượng 1: Trường hợp thí sinh có kết quả thi Đánh giá Năng lực ĐHQG-HCM năm 2025
• Đối tượng 2: Trường hợp thí sinh không có kết quả thi Đánh giá Năng lực ĐHQG-HCM năm 2025
• Đối tượng 3: Trường hợp thí sinh tốt nghiệp chương trình THPT nước ngoài
• Đối tượng 4: Trường hợp thí sinh dùng Chứng chỉ tuyển sinh Quốc tế
• Đối tượng 5: Trường hợp xét tuyển các thí sinh vào chương trình Chuyển tiếp Quốc tế Úc/ Mỹ/ New Zealand của Trường.
Đối tượng: 
Theo Quy chế tuyển sinh hiện hành của Bộ GD&ĐT, Đại học Quốc Gia TP.HCM và Trường Đại học Bách khoa - ĐHQG-HCM.
Ngoại trừ các thí sinh đã từng là sinh viên trường Đại học Bách khoa - ĐHQG-HCM đã bị kỷ luật buộc thôi học trong thời gian 05 năm (kể từ ngày đăng ký xét tuyển sinh năm 2025) hoặc đã bị kỷ luật buộc thôi học do thi hộ hoặc dùng các loại bằng cấp, chứng chỉ, giấy tờ giả mạo."
